date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-05-29,184.7871,185.9199,184.068,185.0826,22514075,22514075,-0.669803,-0.361,184.8599,"May 29, 18",0
2018-05-30,184.9053,185.1811,183.9794,184.6886,18690547,18690547,-0.394003,-0.213,184.4717,"May 30, 18",-0.0021287792585581
2018-05-31,184.4128,185.4076,183.349,184.068,27482793,27482793,-0.620554,-0.336,184.3173,"May 31, 18",-0.0054818767404391415
2018-06-01,185.1724,187.4072,184.9348,187.3875,23442510,23442510,3.3195,1.803,186.6525,"Jun 1, 18",0.012453358662564579
2018-06-04,188.7616,190.5198,188.4809,188.9537,26266174,26266174,1.5662,0.836,189.3611,"Jun 4, 18",0.02091552636498506
2018-06-05,190.1702,191.032,189.4757,190.4115,21565963,21565963,1.4578,0.772,190.301,"Jun 5, 18",0.028792009621649878
2018-06-06,190.7267,191.1699,189.0423,191.0714,20933619,20933619,0.659955,0.347,190.3508,"Jun 6, 18",0.03235744473008266
2018-06-07,191.229,191.2881,189.4511,190.5592,21347180,21347180,-0.512204,-0.268,190.3915,"Jun 7, 18",0.02959003169395713
2018-06-08,188.3036,189.1211,186.9246,188.8256,26656799,26656799,-1.7336,-0.91,188.0835,"Jun 8, 18",0.020223402956301643
2018-06-11,188.4809,189.0916,187.358,188.3627,18308460,18308460,-0.462955,-0.245,188.3202,"Jun 11, 18",0.01772235747714791
2018-06-12,188.5153,189.723,188.2839,189.3969,16911141,16911141,1.0343,0.549,188.9136,"Jun 12, 18",0.023310132881210737
2018-06-13,189.5348,189.9879,187.5845,187.8406,21638393,21638393,-1.5563,-0.822,188.7017,"Jun 13, 18",0.014901454809906393
2018-06-14,188.6779,188.6976,187.3678,187.9391,21610074,21610074,0.098499,0.052,188.0304,"Jun 14, 18",0.015433649624545919
2018-06-15,187.1807,187.3087,185.4372,186.0085,61719160,61719160,-1.9306,-1.027,186.2444,"Jun 15, 18",0.0050026312576113815
2018-06-18,185.0629,186.3828,184.3931,185.91,18484865,18484865,-0.0985,-0.053,185.7734,"Jun 18, 18",0.004470436442971857
2018-06-19,182.364,183.5361,180.6993,182.9057,33578455,33578455,-3.0043,-1.616,182.3869,"Jun 19, 18",-0.011761775553185538
2018-06-20,183.5558,184.3931,182.9451,183.7036,20628701,20628701,0.797855,0.436,183.7077,"Jun 20, 18",-0.00745072740495335
2018-06-21,184.4423,185.5259,182.167,182.6792,25711898,25711898,-1.0244,-0.558,183.3643,"Jun 21, 18",-0.012985553477204257
2018-06-22,183.3293,183.3588,181.9306,182.1473,27200447,27200447,-0.531902,-0.291,182.5127,"Jun 22, 18",-0.015859405476257693
2018-06-25,180.6501,182.1473,178.0201,179.4385,31663096,31663096,-2.7088,-1.487,179.5992,"Jun 25, 18",-0.030495033028496512
2018-06-26,180.2462,183.7331,179.803,181.6646,24569201,24569201,2.2261,1.241,181.9729,"Jun 26, 18",-0.0184674302176434
2018-06-27,182.4505,184.4719,181.2706,181.3987,25285328,25285328,-0.265951,-0.146,182.731,"Jun 27, 18",-0.019904086067518083
2018-06-28,181.3396,183.4179,181.0441,182.7186,17365235,17365235,1.3199,0.728,182.3662,"Jun 28, 18",-0.012772675551348447
2018-06-29,183.4967,184.3832,180.1674,182.3344,22737666,22737666,-0.384152,-0.21,183.1661,"Jun 29, 18",-0.014848505478094782
2018-07-02,181.0638,184.4916,180.6698,184.3734,17731343,17731343,2.039,1.118,183.4034,"Jul 2, 18",-0.0038318026654045804
