date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-05-29,10.8705,10.8893,10.6456,10.7206,31324274,31324274,-0.065599,-0.608,10.7296,"May 29, 18",0
2018-05-30,10.8049,10.8799,10.7487,10.8237,25554593,25554593,0.103084,0.962,10.8312,"May 30, 18",0.009616999048560837
2018-05-31,10.9174,10.997,10.6456,10.8237,61563249,61563249,0,0,10.8029,"May 31, 18",0.009616999048560837
2018-06-01,10.9361,11.0298,10.8799,10.9736,35406189,35406189,0.149937,1.385,10.9601,"Jun 1, 18",0.023599425405294493
2018-06-04,11.0017,11.0439,10.9549,11.0017,25141346,25141346,0.028113,0.256,10.997,"Jun 4, 18",0.02622054735742406
2018-06-05,11.0017,11.1212,10.9455,11.0861,31036704,31036704,0.084341,0.767,11.0588,"Jun 5, 18",0.03409324104994131
2018-06-06,11.1235,11.2454,11.0767,11.2172,31110458,31110458,0.131197,1.183,11.1746,"Jun 6, 18",0.046322034214503
2018-06-07,11.2172,11.3859,11.2079,11.2735,47314073,47314073,0.056227,0.501,11.2976,"Jun 7, 18",0.05157360595489069
2018-06-08,11.2828,11.3578,11.2454,11.3391,28371881,28371881,0.065597,0.582,11.3314,"Jun 8, 18",0.057692666455235804
2018-06-11,11.3391,11.3859,11.2641,11.2735,30398078,30398078,-0.065597,-0.579,11.3181,"Jun 11, 18",0.05157360595489069
2018-06-12,11.311,11.3859,11.2735,11.3484,51395448,51395448,0.074968,0.665,11.3389,"Jun 12, 18",0.05856015521519324
2018-06-13,11.3391,11.3391,11.2079,11.2641,28406733,28406733,-0.084339,-0.743,11.2724,"Jun 13, 18",0.050696789358804534
2018-06-14,11.2454,11.2547,11.0954,11.1423,34523019,34523019,-0.121826,-1.082,11.1499,"Jun 14, 18",0.03933548495420045
2018-06-15,11.0954,11.2735,11.0579,11.1329,56326835,56326835,-0.00937,-0.084,11.135,"Jun 15, 18",0.0384586683581143
2018-06-18,11.0767,11.2828,11.0673,11.236,32706527,32706527,0.103082,0.926,11.2172,"Jun 18, 18",0.048075667406675134
2018-06-19,11.0767,11.1423,10.9361,11.1423,40064785,40064785,-0.093712,-0.834,11.0545,"Jun 19, 18",0.03933548495420045
2018-06-20,11.2172,11.2922,11.0861,11.1235,31964792,31964792,-0.018742,-0.168,11.165,"Jun 20, 18",0.037581851762028315
2018-06-21,11.0579,11.086,10.908,10.9736,33316702,33316702,-0.149939,-1.348,10.9731,"Jun 21, 18",0.023599425405294493
2018-06-22,11.0111,11.1235,10.8893,10.9174,38207303,38207303,-0.056226,-0.512,10.9559,"Jun 22, 18",0.018357181501035522
2018-06-25,10.8986,10.9361,10.6644,10.7768,36101893,36101893,-0.140567,-1.288,10.7581,"Jun 25, 18",0.005242243904259134
2018-06-26,10.833,10.8986,10.7674,10.7955,36627672,36627672,0.018742,0.174,10.826,"Jun 26, 18",0.006986549260302717
2018-06-27,10.8143,10.908,10.6831,10.7018,27240781,27240781,-0.093711,-0.868,10.7812,"Jun 27, 18",-0.0017536331921719698
2018-06-28,10.655,10.6831,10.4488,10.5706,43836444,43836444,-0.131197,-1.226,10.5388,"Jun 28, 18",-0.013991754192862207
2018-06-29,10.6081,10.655,10.3364,10.3738,44718473,44718473,-0.196792,-1.862,10.4772,"Jun 29, 18",-0.03234893569389773
2018-07-02,10.327,10.4066,10.2239,10.402,37892751,37892751,0.028113,0.271,10.3068,"Jul 2, 18",-0.02971848590563961
2018-07-03,10.402,10.4488,10.252,10.2989,16544777,16544777,-0.103083,-0.991,10.3384,"Jul 3, 18",-0.039335484954200285
2018-07-05,10.402,10.4394,10.327,10.3551,32008544,32008544,0.056227,0.546,10.3721,"Jul 5, 18",-0.034093241049941145
2018-07-06,10.3457,10.402,10.2333,10.3645,25671874,25671874,0.009371,0.09,10.3435,"Jul 6, 18",-0.03321642445385516
2018-07-09,10.402,10.5519,10.3364,10.4957,23916802,23916802,0.131195,1.266,10.4881,"Jul 9, 18",-0.020978303453164926
