date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-05-29,96.2766,97.2999,95.6763,96.4439,28670981,28670981,-0.344408,-0.356,96.3552,"May 29, 18",0
2018-05-30,96.7391,97.664,96.3454,97.3688,22158528,22158528,0.92498,0.959,97.1272,"May 30, 18",0.009590031095797596
2018-05-31,97.7034,98.3922,97.0343,97.2606,34140891,34140891,-0.108244,-0.111,97.5311,"May 31, 18",0.008468135361593604
2018-06-01,97.6934,99.2483,97.5853,99.1794,28655624,28655624,1.9188,1.973,98.7267,"Jun 1, 18",0.028363639379991912
2018-06-04,99.6419,100.2323,99.2395,100.0454,27281623,27281623,0.865939,0.873,99.8349,"Jun 4, 18",0.03734295274247518
2018-06-05,100.3701,100.6948,99.9076,100.5571,23514402,23514402,0.511691,0.511,100.3976,"Jun 5, 18",0.042648627855157314
2018-06-06,100.8424,100.9605,100.2717,100.8523,21122917,21122917,0.295206,0.294,100.7022,"Jun 6, 18",0.04570947462721852
2018-06-07,101.0097,101.0491,98.776,99.268,28232197,28232197,-1.5843,-1.571,99.5836,"Jun 7, 18",0.02928230816049539
2018-06-08,99.477,100.3209,98.9334,100.006,22165128,22165128,0.738016,0.743,99.7475,"Jun 8, 18",0.036934425090648565
2018-06-11,99.7502,99.9666,99.0613,99.4353,23490894,23490894,-0.570734,-0.571,99.5185,"Jun 11, 18",0.0310169953724393
2018-06-12,99.4845,99.8282,99.1401,99.6911,18325228,18325228,0.255846,0.257,99.5607,"Jun 12, 18",0.033669314492674046
2018-06-13,100.0946,100.3799,98.9531,99.2385,29492875,29492875,-0.452649,-0.454,99.579,"Jun 13, 18",0.028976430857731827
2018-06-14,100.0257,100.3996,99.3861,99.7994,25691811,25691811,0.560893,0.565,99.8517,"Jun 14, 18",0.03479224709909083
2018-06-15,99.8879,99.9076,98.4709,98.53,65738585,65738585,-1.2694,-1.272,99.0092,"Jun 15, 18",0.021630191230342218
2018-06-18,98.4119,99.4943,97.8313,99.2483,23586037,23586037,0.718335,0.729,99.024,"Jun 18, 18",0.029078044334582085
2018-06-19,98.0576,99.3861,97.91,99.2483,28653087,28653087,0,0,98.7346,"Jun 19, 18",0.029078044334582085
2018-06-20,99.7502,100.8818,99.5042,100.2422,26180792,26180792,0.99386,1.001,100.2325,"Jun 20, 18",0.03938351725718265
2018-06-21,100.4439,100.8227,99.268,99.5238,23198188,23198188,-0.718334,-0.717,99.8136,"Jun 21, 18",0.03193462728072999
2018-06-22,98.8055,99.1597,98.033,98.8055,38923105,38923105,-0.718336,-0.722,98.6163,"Jun 22, 18",0.024486774176490124
2018-06-25,98.4021,98.5103,95.7452,96.8178,35433333,35433333,-1.9877,-2.012,96.8872,"Jun 25, 18",0.003876865203501788
2018-06-26,97.2409,98.4808,97.172,97.4968,26897244,26897244,0.678974,0.701,97.8043,"Jun 26, 18",0.010917227528127689
2018-06-27,97.9888,98.4217,95.8436,95.9814,31298386,31298386,-1.5154,-1.554,97.0625,"Jun 27, 18",-0.004795533984005268
2018-06-28,95.8239,97.5263,95.7058,97.0539,26650671,26650671,1.0726,1.117,96.741,"Jun 28, 18",0.006324920497823081
